Date,Fiscal_Year,Brand_Model,Metric_Type,Units
2023-04-01,2022-23,BAIC X25 ,Sale,0
2023-05-01,2022-23,BAIC X25 ,Prod,0
2023-05-01,2022-23,BAIC X25 ,Sale,0
2023-06-01,2022-23,BAIC X25 ,Prod,0
2023-06-01,2022-23,BAIC X25 ,Sale,0
2023-07-01,2023-24,BAIC X25 ,Prod,0
2023-07-01,2023-24,BAIC X25 ,Sale,0
2023-08-01,2023-24,BAIC X25 ,Prod,0
2023-08-01,2023-24,BAIC X25 ,Sale,0
2023-09-01,2023-24,BAIC X25 ,Prod,0
2023-09-01,2023-24,BAIC X25 ,Sale,0
2023-10-01,2023-24,BAIC X25 ,Prod,0
2023-10-01,2023-24,BAIC X25 ,Sale,0
2023-11-01,2023-24,BAIC X25 ,Prod,0
2023-11-01,2023-24,BAIC X25 ,Sale,0
2023-12-01,2023-24,BAIC X25 ,Prod,0
2023-12-01,2023-24,BAIC X25 ,Sale,0
2024-01-01,2023-24,BAIC X25 ,Prod,0
2024-01-01,2023-24,BAIC X25 ,Sale,0
2024-02-01,2023-24,BAIC X25 ,Prod,0
2024-02-01,2023-24,BAIC X25 ,Sale,0
2024-03-01,2023-24,BAIC X25 ,Prod,0
2024-03-01,2023-24,BAIC X25 ,Sale,0
2024-04-01,2023-24,BAIC X25 ,Prod,0
2024-04-01,2023-24,BAIC X25 ,Sale,0
2024-05-01,2023-24,BAIC X25 ,Prod,0
2024-05-01,2023-24,BAIC X25 ,Sale,0
2024-06-01,2023-24,BAIC X25 ,Prod,0
2024-06-01,2023-24,BAIC X25 ,Sale,0
2024-07-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2024-07-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2024-08-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2024-08-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2024-09-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2024-09-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2024-10-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2024-10-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2024-11-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2024-11-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2024-12-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2024-12-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2025-01-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2025-01-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2025-02-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2025-02-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2025-03-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2025-03-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2025-04-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2025-04-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2025-05-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2025-05-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2025-06-01,2024-25,BAIC X25                           SAZGAR,Prod,0
2025-06-01,2024-25,BAIC X25                           SAZGAR,Sale,0
2021-07-01,2021-22,CHERY TIGGO,Prod,0
2021-07-01,2021-22,CHERY TIGGO,Sale,0
2021-08-01,2021-22,CHERY TIGGO,Prod,0
2021-08-01,2021-22,CHERY TIGGO,Sale,0
2021-09-01,2021-22,CHERY TIGGO,Prod,0
2021-09-01,2021-22,CHERY TIGGO,Sale,0
2021-10-01,2021-22,CHERY TIGGO,Prod,0
2021-10-01,2021-22,CHERY TIGGO,Sale,0
2021-11-01,2021-22,CHERY TIGGO,Prod,0
2021-11-01,2021-22,CHERY TIGGO,Sale,0
2021-12-01,2021-22,CHERY TIGGO,Prod,0
2021-12-01,2021-22,CHERY TIGGO,Sale,0
2022-01-01,2021-22,CHERY TIGGO,Prod,0
2022-01-01,2021-22,CHERY TIGGO,Sale,0
2022-02-01,2021-22,CHERY TIGGO,Prod,0
2022-02-01,2021-22,CHERY TIGGO,Sale,0
2022-03-01,2021-22,CHERY TIGGO,Prod,0
